feature,mean_abs_shap
recency_days,0.27841827
frequency,0.16224553
total_quantity,0.15092506
avg_days_between_orders,0.14178531
std_days_between_orders,0.12182986
unique_products,0.114897415
monetary_acceleration,0.086626306
frequency_last_90d,0.08223251
monetary_last_90d,0.0792825
monetary,0.07162065
product_diversity_trend,0.06751593
recency_one_time,0.050576735
overdue_ratio,0.0359312
days_since_first_purchase,0.029546134
velocity_ratio_180d,0.019104837
avg_unit_price,0.011558676
tenure_days,0.010376683
cancellation_rate,0.009934213
purchase_regularity,0.008965647
min_single_order_value,0.008563093
spending_recency_ratio,0.0073502273
monetary_trend,0.0058918875
max_single_order_value,0.0057615126
weekend_purchase_ratio,0.005513101
return_quantity_rate,0.0037693218
avg_basket_size,0.0034981095
velocity_ratio_30d_90d,0.0021970156
ratio_frequency_90d,0.001326527
is_one_time_buyer,0.0
avg_order_value,0.0
frequency_last_30d,0.0
is_uk,0.0
